wavelength_nm,glass_diffuse_reflectance,glass_diffuse_transmittance,glass_reflectance_percent,glass_transmittance_percent,source_R_file,source_T_file
422.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
423.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
423.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
424.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
424.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
425.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
425.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
426.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
426.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
427.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
427.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
428.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
428.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
429.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
429.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
430.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
430.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
431.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
431.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
432.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
432.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
433.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
433.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
434.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
434.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
435.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
435.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
436.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
436.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
437.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
437.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
438.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
438.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
439.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
439.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
440.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
440.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
441.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
441.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
442.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
442.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
443.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
443.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
444.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
444.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
445.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
445.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
446.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
446.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
447.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
447.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
448.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
448.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
449.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
449.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
450.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
450.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
451.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
451.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
452.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
452.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
453.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
453.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
454.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
454.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
455.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
455.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
