wavelength_nm,MR,MT,MR_corrected_percent,MT_corrected_percent,MR_raw_percent,MT_raw_percent,glass_R_percent,glass_T_percent,valid_iad_input,ratio_tag,thickness_um,sample_id,correction_method,source_R_file,source_T_file,glass_R_file,glass_T_file
394.0,0.737,0.091,73.7,9.1,74.2,9.6,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
394.5,0.74,0.092,74,9.2,74.5,9.7,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
395.0,0.743,0.094,74.3,9.4,74.8,9.9,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
395.5,0.746,0.095,74.6,9.5,75.1,10,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
396.0,0.748,0.096,74.8,9.6,75.3,10.1,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
396.5,0.75,0.098,75,9.8,75.5,10.3,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
397.0,0.752,0.099,75.2,9.9,75.7,10.4,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
397.5,0.754,0.1,75.4,10,75.9,10.5,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
398.0,0.756,0.102,75.6,10.2,76.1,10.7,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
398.5,0.758,0.103,75.8,10.3,76.3,10.8,0.5,0.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
